Analyst Username,URL Username,Join Date,Roles,Analyst Confidence Score,Error Rate,Accuracy Percentile,Points,Stocks,Pending
Analyst_4048130,analyst_4048130,Member since Jul 2020 - Last seen almost 3 years ago,[],4.1,25.4% all time,21% all time,-177 all time,10 all time,24 total
ebow,ebow,Member since Jun 2021 - Last seen over 2 years ago,"['Non Professional', 'Information Technology', 'Software']",6.7,32.1% all time,41% all time,31 all time,2 all time,2 total
Joseph Djen,josephd6,Member since Jun 2012 - Last seen about 3 years ago,"['Non Professional', 'Information Technology', 'Internet Software & Services']",7.0,16.5% all time,52% all time,188 all time,21 all time,33 total
Analyst_8087904,analyst_8087904,Member since Jun 2019 - Last seen over 4 years ago,"['Non Professional', 'Information Technology', 'Software']",6.8,7.9% all time,53% all time,25 all time,2 all time,2 total
Analyst_5523864,analyst_5523864,Member since Jan 2021,"['Non Professional', 'Other', 'Other']",N/A,- all time,- all time,- all time,- all time,- total
Analyst_3926000,analyst_3926000,Member since Aug 2021,"['Non Professional', 'Other', 'Other']",7.0,24.2% all time,82% all time,20 all time,1 all time,1 total
Analyst_4411670,analyst_4411670,Member since Oct 2021,"['Non Professional', 'Other', 'Other']",6.8,6.8% all time,60% all time,27 all time,1 all time,1 total
Analyst_9593416,analyst_9593416,Member since May 2021,"['Non Professional', 'Other', 'Other']",6.5,7.0% all time,15% all time,1 all time,1 all time,1 total
rsreina,rsreina,Member since Oct 2014 - Last seen about 12 hours ago,"['Non Professional', 'Academia']",7.9,6.2% all time,58% all time,"2,072 all time",199 all time,162 total
Analyst_8891778,analyst_8891778,Member since Aug 2020,"['Non Professional', 'Other', 'Other']",7.0,11.3% all time,72% all time,31 all time,2 all time,2 total
Analyst_5193035,analyst_5193035,Member since Dec 2020,"['Non Professional', 'Other', 'Other']",6.7,26.8% all time,33% all time,6 all time,1 all time,1 total
Analyst_4294533,analyst_4294533,Member since Nov 2020,"['Non Professional', 'Other', 'Other']",7.0,2.7% all time,86% all time,20 all time,1 all time,1 total
Analyst_796630,analyst_796630,Member since Apr 2022,"['Non Professional', 'Other', 'Other']",N/A,- all time,- all time,- all time,- all time,- total
neselibeyin,neselibeyin,Member since Dec 2016 - Last seen almost 3 years ago,"['Non Professional', 'Financials', 'Professional Services']",7.8,9.1% all time,58% all time,757 all time,28 all time,61 total
SelectiveTrade,selectivetrade,Member since Jul 2020 - Last seen over 3 years ago,"['Non Professional', 'Consumer Discretionary', 'Automobiles']",7.6,19.2% all time,56% all time,971 all time,116 all time,116 total
VanderVan15,vandervan15,Member since May 2019 - Last seen over 4 years ago,"['Financial Professional', 'Independent', 'Independent Research']",7.0,14.9% all time,52% all time,303 all time,37 all time,36 total
Analyst_7562735,analyst_7562735,Member since Jul 2020,"['Non Professional', 'Other', 'Other']",7.0,33.5% all time,59% all time,42 all time,5 all time,5 total
Vitaly,analyst_4487839,Member since Nov 2019 - Last seen about 1 year ago,"['Non Professional', 'Information Technology', 'Office Electronics']",8.2,17.5% all time,60% all time,"6,571 all time",231 all time,439 total
Analyst_1554530,analyst_1554530,Member since Dec 2021 - Last seen almost 2 years ago,[],6.7,14.7% all time,33% all time,-10 all time,1 all time,1 total
Analyst_8422329,analyst_8422329,Member since Nov 2021,"['Non Professional', 'Other', 'Other']",N/A,- all time,- all time,- all time,- all time,- total
garykimmel,garykimmel,Member since Jul 2020 - Last seen over 3 years ago,"['Non Professional', 'Information Technology', 'Internet Software & Services']",6.6,10.5% all time,37% all time,-6 all time,1 all time,2 total
krock,kerickson,Member since Jul 2014 - Last seen over 1 year ago,"['Financial Professional', 'Independent', 'Other']",7.9,12.9% all time,58% all time,"2,248 all time",24 all time,181 total
Analyst_3052920,analyst_3052920,Member since Aug 2021,"['Non Professional', 'Other', 'Other']",6.5,6.9% all time,14% all time,-11 all time,1 all time,1 total
Analyst_4198204,analyst_4198204,Member since Jun 2019 - Last seen about 1 year ago,[],5.1,7.9% all time,11% all time,-96 all time,3 all time,7 total
Analyst_9769655,analyst_9769655,Member since Nov 2021 - Last seen over 1 year ago,[],6.9,3.4% all time,76% all time,-2 all time,1 all time,1 total
Jim Mitchell,ghs_43,Member since Jun 2021,"['Financial Professional', 'Sell Side', 'Broker']",6.8,11.5% all time,50% all time,91 all time,14 all time,16 total
Analyst_8740461,analyst_8740461,Member since Apr 2020,"['Non Professional', 'Other', 'Other']",6.9,6.8% all time,70% all time,20 all time,1 all time,1 total
Analyst_2362853,analyst_2362853,Member since May 2019,"['Non Professional', 'Other', 'Other']",6.9,17.5% all time,69% all time,21 all time,1 all time,1 total
GreatDecoupling,greatdecoupling,Member since Apr 2020 - Last seen almost 2 years ago,"['Non Professional', 'Health Care', 'Health Care Providers & Services']",6.9,32.0% all time,56% all time,34 all time,3 all time,5 total
Analyst_7812129,analyst_7812129,Member since Jul 2021,"['Non Professional', 'Other', 'Other']",N/A,- all time,- all time,- all time,- all time,- total
adityavgupta28,adityavgupta28,Member since Nov 2019 - Last seen about 3 years ago,"['Non Professional', 'Student']",6.7,12.2% all time,48% all time,28 all time,3 all time,3 total
