Analyst Username,URL Username,Join Date,Roles,Analyst Confidence Score,Error Rate,Accuracy Percentile,Points,Stocks,Pending
Analyst_4048130,analyst_4048130,Member since Jul 2020 - Last seen almost 3 years ago,[],4.1,25.4% all time,21% all time,-177 all time,10 all time,24 total
ebow,ebow,Member since Jun 2021 - Last seen over 2 years ago,"['Non Professional', 'Information Technology', 'Software']",6.7,32.1% all time,41% all time,31 all time,2 all time,2 total
Joseph Djen,josephd6,Member since Jun 2012 - Last seen about 3 years ago,"['Non Professional', 'Information Technology', 'Internet Software & Services']",7.0,16.5% all time,52% all time,188 all time,21 all time,33 total
Analyst_8087904,analyst_8087904,Member since Jun 2019 - Last seen over 4 years ago,"['Non Professional', 'Information Technology', 'Software']",6.8,7.9% all time,53% all time,25 all time,2 all time,2 total
Analyst_5523864,analyst_5523864,Member since Jan 2021,"['Non Professional', 'Other', 'Other']",N/A,- all time,- all time,- all time,- all time,- total
Analyst_3926000,analyst_3926000,Member since Aug 2021,"['Non Professional', 'Other', 'Other']",7.0,24.2% all time,82% all time,20 all time,1 all time,1 total
Analyst_4411670,analyst_4411670,Member since Oct 2021,"['Non Professional', 'Other', 'Other']",6.8,6.8% all time,60% all time,27 all time,1 all time,1 total
Analyst_9593416,analyst_9593416,Member since May 2021,"['Non Professional', 'Other', 'Other']",6.5,7.0% all time,15% all time,1 all time,1 all time,1 total
rsreina,rsreina,Member since Oct 2014 - Last seen about 11 hours ago,"['Non Professional', 'Academia']",7.9,6.2% all time,58% all time,"2,072 all time",199 all time,162 total
Analyst_8891778,analyst_8891778,Member since Aug 2020,"['Non Professional', 'Other', 'Other']",7.0,11.3% all time,72% all time,31 all time,2 all time,2 total
