Analyst Username,URL Username,Ticker,Quarter,Reports,Published,EPS,Revenue
Analyst_4048130,analyst_4048130,"<strong class=""profile-tbl-ticker"">AMD</strong>",Q3 2020,</div> 108 / 234,21,-3,18
Analyst_4048130,analyst_4048130,"<strong class=""profile-tbl-ticker"">TSLA</strong>",Q3 2020,</div> 221 / 472,-3,16,13
ebow,ebow,"<strong class=""profile-tbl-ticker"">",</a> </div>,"<div class=""td profile-stcks-tbl-quarters""> </div>",</div>,</div>,</div>
ebow,ebow,"<strong class=""profile-tbl-ticker"">",</a> </div>,"<div class=""td profile-stcks-tbl-quarters""> </div>",</div>,</div>,</div>
Joseph Djen,josephd6,"<strong class=""profile-tbl-ticker"">",</a> </div>,"<div class=""td profile-stcks-tbl-quarters""> </div>",</div>,</div>,</div>
Joseph Djen,josephd6,"<strong class=""profile-tbl-ticker"">",</a> </div>,"<div class=""td profile-stcks-tbl-quarters""> </div>",</div>,</div>,</div>
Joseph Djen,josephd6,"<strong class=""profile-tbl-ticker"">",</a> </div>,"<div class=""td profile-stcks-tbl-quarters""> </div>",</div>,</div>,</div>
Joseph Djen,josephd6,"<strong class=""profile-tbl-ticker"">",</a> </div>,"<div class=""td profile-stcks-tbl-quarters""> </div>",</div>,</div>,</div>
Joseph Djen,josephd6,"<strong class=""profile-tbl-ticker"">",</a> </div>,"<div class=""td profile-stcks-tbl-quarters""> </div>",</div>,</div>,</div>
Joseph Djen,josephd6,"<strong class=""profile-tbl-ticker"">",</a> </div>,"<div class=""td profile-stcks-tbl-quarters""> </div>",</div>,</div>,</div>
Joseph Djen,josephd6,"<strong class=""profile-tbl-ticker"">",</a> </div>,"<div class=""td profile-stcks-tbl-quarters""> </div>",</div>,</div>,</div>
Joseph Djen,josephd6,"<strong class=""profile-tbl-ticker"">",</a> </div>,"<div class=""td profile-stcks-tbl-quarters""> </div>",</div>,</div>,</div>
Joseph Djen,josephd6,"<strong class=""profile-tbl-ticker"">",</a> </div>,"<div class=""td profile-stcks-tbl-quarters""> </div>",</div>,</div>,</div>
Joseph Djen,josephd6,"<strong class=""profile-tbl-ticker"">",</a> </div>,"<div class=""td profile-stcks-tbl-quarters""> </div>",</div>,</div>,</div>
Joseph Djen,josephd6,"<strong class=""profile-tbl-ticker"">",</a> </div>,"<div class=""td profile-stcks-tbl-quarters""> </div>",</div>,</div>,</div>
Joseph Djen,josephd6,"<strong class=""profile-tbl-ticker"">",</a> </div>,"<div class=""td profile-stcks-tbl-quarters""> </div>",</div>,</div>,</div>
Joseph Djen,josephd6,"<strong class=""profile-tbl-ticker"">",</a> </div>,"<div class=""td profile-stcks-tbl-quarters""> </div>",</div>,</div>,</div>
Joseph Djen,josephd6,"<strong class=""profile-tbl-ticker"">",</a> </div>,"<div class=""td profile-stcks-tbl-quarters""> </div>",</div>,</div>,</div>
Joseph Djen,josephd6,"<strong class=""profile-tbl-ticker"">",</a> </div>,"<div class=""td profile-stcks-tbl-quarters""> </div>",</div>,</div>,</div>
Joseph Djen,josephd6,"<strong class=""profile-tbl-ticker"">",</a> </div>,"<div class=""td profile-stcks-tbl-quarters""> </div>",</div>,</div>,</div>
Analyst_8087904,analyst_8087904,"<strong class=""profile-tbl-ticker"">",</a> </div>,"<div class=""td profile-stcks-tbl-quarters""> </div>",</div>,</div>,</div>
Analyst_8087904,analyst_8087904,"<strong class=""profile-tbl-ticker"">",</a> </div>,"<div class=""td profile-stcks-tbl-quarters""> </div>",</div>,</div>,</div>
Analyst_5523864,analyst_5523864,"<strong class=""profile-tbl-ticker"">NVDA</strong>",Q2 2020,</div> 255 / 287,18,-25,-7
Analyst_5523864,analyst_5523864,"<strong class=""profile-tbl-ticker"">ADBE</strong>",Q2 2019,</div> 38 / 142,11,21,32
Analyst_3926000,analyst_3926000,"<strong class=""profile-tbl-ticker"">",</a> </div>,"<div class=""td profile-stcks-tbl-quarters""> </div>",</div>,</div>,</div>
Analyst_4411670,analyst_4411670,"<strong class=""profile-tbl-ticker"">",</a> </div>,"<div class=""td profile-stcks-tbl-quarters""> </div>",</div>,</div>,</div>
Analyst_9593416,analyst_9593416,"<strong class=""profile-tbl-ticker"">",</a> </div>,"<div class=""td profile-stcks-tbl-quarters""> </div>",</div>,</div>,</div>
rsreina,rsreina,"<strong class=""profile-tbl-ticker"">DELL</strong>",Q3 2024,"Nov 30, 2023 <abbr title=""After Market Closes"">AMC</abbr>","Nov 6, 2023",1.51,"24,250"
