Analyst Username,URL Username,Ticker,Quarter,Reported,Rank,EPS Points,Revenue Points,Total Points
Analyst_4048130,analyst_4048130,"<strong class=""profile-tbl-ticker"">ZM</strong>",Q1 2022,"Jun 1, 2021",61 / 82,-4,-5,-9
Analyst_4048130,analyst_4048130,"<strong class=""profile-tbl-ticker"">MSFT</strong>",Q3 2021,"Apr 27, 2021",205 / 234,-24,-4,-28
Analyst_4048130,analyst_4048130,"<strong class=""profile-tbl-ticker"">TSLA</strong>",Q1 2021,"Apr 26, 2021",366 / 382,-8,-23,-31
Analyst_4048130,analyst_4048130,"<strong class=""profile-tbl-ticker"">FCX</strong>",Q1 2021,"Apr 22, 2021",20 / 20,-25,-25,-50
Analyst_4048130,analyst_4048130,"<strong class=""profile-tbl-ticker"">IBKR</strong>",Q1 2021,"Apr 20, 2021",14 / 15,-8,-9,-17
Analyst_4048130,analyst_4048130,"<strong class=""profile-tbl-ticker"">ZM</strong>",Q4 2021,"Mar 1, 2021",84 / 111,9,-3,6
Analyst_4048130,analyst_4048130,"<strong class=""profile-tbl-ticker"">GEN</strong>",Q3 2021,"Feb 4, 2021",8 / 14,-1,11,10
Analyst_4048130,analyst_4048130,"<strong class=""profile-tbl-ticker"">TSLA</strong>",Q4 2020,"Jan 27, 2021",397 / 413,-3,-25,-28
Analyst_4048130,analyst_4048130,"<strong class=""profile-tbl-ticker"">MSFT</strong>",Q2 2021,"Jan 26, 2021",273 / 276,-8,-5,-13
Analyst_4048130,analyst_4048130,"<strong class=""profile-tbl-ticker"">FCX</strong>",Q4 2020,"Jan 26, 2021",20 / 21,-14,-23,-37
Analyst_4048130,analyst_4048130,"<strong class=""profile-tbl-ticker"">IBKR</strong>",Q4 2020,"Jan 19, 2021",1 / 16,10,25,35
Analyst_4048130,analyst_4048130,"<strong class=""profile-tbl-ticker"">ZM</strong>",Q3 2021,"Nov 30, 2020",99 / 116,-9,-7,-16
Analyst_4048130,analyst_4048130,"<strong class=""profile-tbl-ticker"">MSFT</strong>",Q1 2021,"Oct 27, 2020",199 / 272,-6,11,5
Analyst_4048130,analyst_4048130,"<strong class=""profile-tbl-ticker"">INTC</strong>",Q3 2020,"Oct 22, 2020",154 / 160,-6,-25,-31
Analyst_4048130,analyst_4048130,"<strong class=""profile-tbl-ticker"">FCX</strong>",Q3 2020,"Oct 22, 2020",19 / 21,-9,-3,-12
Analyst_4048130,analyst_4048130,"<strong class=""profile-tbl-ticker"">TSLA</strong>",Q3 2020,"Oct 21, 2020",461 / 472,-10,-25,-35
Analyst_4048130,analyst_4048130,"<strong class=""profile-tbl-ticker"">IBKR</strong>",Q3 2020,"Oct 20, 2020",16 / 17,-6,-11,-17
Analyst_4048130,analyst_4048130,"<strong class=""profile-tbl-ticker"">WFC</strong>",Q3 2020,"Oct 14, 2020",8 / 46,18,10,28
Analyst_4048130,analyst_4048130,"<strong class=""profile-tbl-ticker"">BAC</strong>",Q3 2020,"Oct 14, 2020",53 / 66,-4,-6,-10
Analyst_4048130,analyst_4048130,"<strong class=""profile-tbl-ticker"">C</strong>",Q3 2020,"Oct 13, 2020",18 / 42,11,-2,9
Analyst_4048130,analyst_4048130,"<strong class=""profile-tbl-ticker"">ZM</strong>",Q2 2021,"Aug 31, 2020",6 / 112,10,17,27
Analyst_4048130,analyst_4048130,"<strong class=""profile-tbl-ticker"">FCX</strong>",Q2 2020,"Jul 23, 2020",15 / 20,11,-8,3
Analyst_4048130,analyst_4048130,"<strong class=""profile-tbl-ticker"">MSFT</strong>",Q4 2020,"Jul 22, 2020",234 / 363,6,10,16
Analyst_4048130,analyst_4048130,"<strong class=""profile-tbl-ticker"">TSLA</strong>",Q2 2020,"Jul 22, 2020",61 / 636,13,19,32
Analyst_4048130,analyst_4048130,"<strong class=""profile-tbl-ticker"">IBKR</strong>",Q2 2020,"Jul 21, 2020",23 / 24,-19,-6,-25
ebow,ebow,"<strong class=""profile-tbl-ticker"">BB</strong>",Q1 2022,"Jun 24, 2021",19 / 39,-8,21,13
ebow,ebow,"<strong class=""profile-tbl-ticker"">LULU</strong>",Q1 2021,"Jun 3, 2021",36 / 55,9,9,18
Joseph Djen,josephd6,"<strong class=""profile-tbl-ticker"">LULU</strong>",Q2 2020,"Sep 8, 2020",84 / 104,-4,-4,-8
Joseph Djen,josephd6,"<strong class=""profile-tbl-ticker"">LULU</strong>",Q1 2020,"Jun 11, 2020",57 / 106,-1,-2,-3
Joseph Djen,josephd6,"<strong class=""profile-tbl-ticker"">PYPL</strong>",Q1 2020,"May 6, 2020",109 / 128,7,-4,3
Joseph Djen,josephd6,"<strong class=""profile-tbl-ticker"">SHOP</strong>",Q1 2020,"May 6, 2020",81 / 103,8,-4,4
Joseph Djen,josephd6,"<strong class=""profile-tbl-ticker"">AMZN</strong>",Q1 2020,"Apr 30, 2020",298 / 403,-4,-3,-7
Joseph Djen,josephd6,"<strong class=""profile-tbl-ticker"">MSFT</strong>",Q3 2020,"Apr 29, 2020",28 / 331,25,14,39
Joseph Djen,josephd6,"<strong class=""profile-tbl-ticker"">TWTR</strong>",Q4 2013,"Feb 5, 2014",75 / 94,-4,-3,-7
Joseph Djen,josephd6,"<strong class=""profile-tbl-ticker"">BB</strong>",Q3 2014,"Dec 20, 2013",4 / 27,14,11,25
Joseph Djen,josephd6,"<strong class=""profile-tbl-ticker"">TRIP</strong>",Q1 2013,"May 7, 2013",23 / 27,-10,12,2
Joseph Djen,josephd6,"<strong class=""profile-tbl-ticker"">NFLX</strong>",Q1 2013,"Apr 22, 2013",42 / 57,-6,-3,-9
Joseph Djen,josephd6,"<strong class=""profile-tbl-ticker"">GOOGL</strong>",Q1 2013,"Apr 18, 2013",53 / 72,10,-3,7
Joseph Djen,josephd6,"<strong class=""profile-tbl-ticker"">TZOO</strong>",Q1 2013,"Apr 18, 2013",8 / 8,-7,-10,-17
Joseph Djen,josephd6,"<strong class=""profile-tbl-ticker"">EBAY</strong>",Q1 2013,"Apr 17, 2013",27 / 55,14,-2,12
Joseph Djen,josephd6,"<strong class=""profile-tbl-ticker"">GRPN</strong>",Q3 2012,"Nov 8, 2012",1 / 28,0,23,23
Joseph Djen,josephd6,"<strong class=""profile-tbl-ticker"">F</strong>",Q3 2012,"Oct 30, 2012",18 / 31,0,8,8
Joseph Djen,josephd6,"<strong class=""profile-tbl-ticker"">AAPL</strong>",Q4 2012,"Oct 25, 2012",6 / 342,-1,25,24
Joseph Djen,josephd6,"<strong class=""profile-tbl-ticker"">META</strong>",Q3 2012,"Oct 23, 2012",23 / 105,0,20,20
Joseph Djen,josephd6,"<strong class=""profile-tbl-ticker"">YHOO</strong>",Q3 2012,"Oct 22, 2012",50 / 62,10,-11,-1
Joseph Djen,josephd6,"<strong class=""profile-tbl-ticker"">GOOGL</strong>",Q3 2012,"Oct 18, 2012",9 / 108,10,16,26
Joseph Djen,josephd6,"<strong class=""profile-tbl-ticker"">EBAY</strong>",Q3 2012,"Oct 17, 2012",8 / 54,-1,-1,-2
Joseph Djen,josephd6,"<strong class=""profile-tbl-ticker"">NKE</strong>",Q1 2013,"Sep 27, 2012",33 / 58,0,-2,-2
Joseph Djen,josephd6,"<strong class=""profile-tbl-ticker"">BB</strong>",Q2 2013,"Sep 27, 2012",21 / 79,-2,-2,-4
Joseph Djen,josephd6,"<strong class=""profile-tbl-ticker"">GRPN</strong>",Q2 2012,"Aug 13, 2012",1 / 53,0,22,22
Joseph Djen,josephd6,"<strong class=""profile-tbl-ticker"">ET - Defunct</strong>",Q2 2012,"Aug 9, 2012",13 / 19,-4,9,5
Joseph Djen,josephd6,"<strong class=""profile-tbl-ticker"">BKNG</strong>",Q2 2012,"Aug 7, 2012",7 / 31,18,-5,13
Analyst_8087904,analyst_8087904,"<strong class=""profile-tbl-ticker"">NVDA</strong>",Q2 2020,"Aug 15, 2019",255 / 287,18,-25,-7
Analyst_8087904,analyst_8087904,"<strong class=""profile-tbl-ticker"">ADBE</strong>",Q2 2019,"Jun 18, 2019",38 / 142,11,21,32
Analyst_5523864,analyst_5523864,"<strong class=""profile-tbl-ticker"">TSLA</strong>",Q4 2020,"Jan 27, 2021",60 / 413,-3,22,19
Analyst_3926000,analyst_3926000,"<strong class=""profile-tbl-ticker"">AMZN</strong>",Q3 2021,"Oct 28, 2021",16 / 210,-2,22,20
Analyst_4411670,analyst_4411670,"<strong class=""profile-tbl-ticker"">GOOGL</strong>",Q3 2021,"Oct 26, 2021",71 / 157,9,18,27
Analyst_9593416,analyst_9593416,"<strong class=""profile-tbl-ticker"">WMT</strong>",Q2 2022,"Aug 17, 2021",36 / 47,8,-7,1
rsreina,rsreina,"<strong class=""profile-tbl-ticker"">NVDA</strong>",Q3 2024,"Nov 21, 2023",62 / 203,11,13,24
rsreina,rsreina,"<strong class=""profile-tbl-ticker"">WMT</strong>",Q3 2024,"Nov 16, 2023",14 / 45,-3,16,13
rsreina,rsreina,"<strong class=""profile-tbl-ticker"">PANW</strong>",Q1 2024,"Nov 15, 2023",6 / 53,11,22,33
rsreina,rsreina,"<strong class=""profile-tbl-ticker"">DIS</strong>",Q4 2023,"Nov 8, 2023",39 / 66,9,-2,7
rsreina,rsreina,"<strong class=""profile-tbl-ticker"">G</strong>",Q3 2023,"Nov 8, 2023",3 / 4,11,9,20
rsreina,rsreina,"<strong class=""profile-tbl-ticker"">OXY</strong>",Q3 2023,"Nov 7, 2023",10 / 21,-3,-3,-6
rsreina,rsreina,"<strong class=""profile-tbl-ticker"">FNF</strong>",Q3 2023,"Nov 7, 2023",3 / 5,10,-4,6
rsreina,rsreina,"<strong class=""profile-tbl-ticker"">ED</strong>",Q3 2023,"Nov 2, 2023",1 / 3,16,-7,9
rsreina,rsreina,"<strong class=""profile-tbl-ticker"">EOG</strong>",Q3 2023,"Nov 2, 2023",9 / 18,10,8,18
rsreina,rsreina,"<strong class=""profile-tbl-ticker"">ZTS</strong>",Q3 2023,"Nov 2, 2023",5 / 10,-4,-4,-8
rsreina,rsreina,"<strong class=""profile-tbl-ticker"">CI</strong>",Q3 2023,"Nov 2, 2023",3 / 12,16,14,30
rsreina,rsreina,"<strong class=""profile-tbl-ticker"">CLX</strong>",Q1 2024,"Nov 1, 2023",3 / 8,10,22,32
rsreina,rsreina,"<strong class=""profile-tbl-ticker"">MCK</strong>",Q2 2024,"Nov 1, 2023",3 / 5,11,16,27
rsreina,rsreina,"<strong class=""profile-tbl-ticker"">DD</strong>",Q3 2023,"Nov 1, 2023",5 / 5,7,-3,4
rsreina,rsreina,"<strong class=""profile-tbl-ticker"">GNRC</strong>",Q3 2023,"Nov 1, 2023",6 / 19,-1,14,13
rsreina,rsreina,"<strong class=""profile-tbl-ticker"">CVS</strong>",Q3 2023,"Nov 1, 2023",2 / 28,19,22,41
rsreina,rsreina,"<strong class=""profile-tbl-ticker"">XYL</strong>",Q3 2023,"Oct 31, 2023",6 / 13,10,13,23
rsreina,rsreina,"<strong class=""profile-tbl-ticker"">ACGL</strong>",Q3 2023,"Oct 30, 2023",2 / 4,10,20,30
rsreina,rsreina,"<strong class=""profile-tbl-ticker"">CVX</strong>",Q3 2023,"Oct 27, 2023",14 / 24,-3,10,7
rsreina,rsreina,"<strong class=""profile-tbl-ticker"">RSG</strong>",Q3 2023,"Oct 26, 2023",1 / 5,11,17,28
rsreina,rsreina,"<strong class=""profile-tbl-ticker"">AMZN</strong>",Q3 2023,"Oct 26, 2023",17 / 143,10,22,32
rsreina,rsreina,"<strong class=""profile-tbl-ticker"">STM</strong>",Q3 2023,"Oct 26, 2023",6 / 9,12,15,27
rsreina,rsreina,"<strong class=""profile-tbl-ticker"">LIN</strong>",Q3 2023,"Oct 26, 2023",3 / 6,21,-4,17
rsreina,rsreina,"<strong class=""profile-tbl-ticker"">KDP</strong>",Q3 2023,"Oct 26, 2023",4 / 14,25,13,38
rsreina,rsreina,"<strong class=""profile-tbl-ticker"">MRK</strong>",Q3 2023,"Oct 26, 2023",6 / 16,9,11,20
Analyst_8891778,analyst_8891778,"<strong class=""profile-tbl-ticker"">AMD</strong>",Q3 2020,"Oct 27, 2020",108 / 234,21,-3,18
Analyst_8891778,analyst_8891778,"<strong class=""profile-tbl-ticker"">TSLA</strong>",Q3 2020,"Oct 21, 2020",221 / 472,-3,16,13
Analyst_5193035,analyst_5193035,"<strong class=""profile-tbl-ticker"">AMZN</strong>",Q4 2020,"Feb 2, 2021",231 / 313,-5,11,6
Analyst_4294533,analyst_4294533,"<strong class=""profile-tbl-ticker"">BABA</strong>",Q2 2021,"Nov 5, 2020",22 / 108,24,-3,21
Analyst_796630,analyst_796630,"<strong class=""profile-tbl-ticker"">COST</strong>",Q3 2022,"May 26, 2022",49 / 61,-2,-9,-11
neselibeyin,neselibeyin,"<strong class=""profile-tbl-ticker"">IBM</strong>",Q4 2020,"Jan 21, 2021",37 / 85,17,-2,15
neselibeyin,neselibeyin,"<strong class=""profile-tbl-ticker"">HPQ</strong>",Q3 2019,"Aug 22, 2019",8 / 55,25,8,33
neselibeyin,neselibeyin,"<strong class=""profile-tbl-ticker"">SPLK</strong>",Q2 2020,"Aug 21, 2019",19 / 92,12,12,24
neselibeyin,neselibeyin,"<strong class=""profile-tbl-ticker"">WOLF</strong>",Q4 2019,"Aug 20, 2019",6 / 66,19,24,43
neselibeyin,neselibeyin,"<strong class=""profile-tbl-ticker"">BIDU</strong>",Q2 2019,"Aug 19, 2019",93 / 182,10,18,28
neselibeyin,neselibeyin,"<strong class=""profile-tbl-ticker"">NVDA</strong>",Q2 2020,"Aug 15, 2019",208 / 287,21,-16,5
neselibeyin,neselibeyin,"<strong class=""profile-tbl-ticker"">CSCO</strong>",Q4 2019,"Aug 14, 2019",95 / 140,12,-3,9
neselibeyin,neselibeyin,"<strong class=""profile-tbl-ticker"">MSFT</strong>",Q4 2019,"Jul 18, 2019",97 / 349,11,10,21
neselibeyin,neselibeyin,"<strong class=""profile-tbl-ticker"">ORCL</strong>",Q3 2019,"Mar 14, 2019",72 / 108,7,-1,6
neselibeyin,neselibeyin,"<strong class=""profile-tbl-ticker"">COST</strong>",Q2 2019,"Mar 7, 2019",63 / 100,9,-3,6
neselibeyin,neselibeyin,"<strong class=""profile-tbl-ticker"">ORCL</strong>",Q2 2019,"Dec 17, 2018",102 / 111,-25,-6,-31
neselibeyin,neselibeyin,"<strong class=""profile-tbl-ticker"">COST</strong>",Q1 2019,"Dec 13, 2018",41 / 97,-9,17,8
neselibeyin,neselibeyin,"<strong class=""profile-tbl-ticker"">IBM</strong>",Q3 2018,"Oct 16, 2018",54 / 166,15,-2,13
neselibeyin,neselibeyin,"<strong class=""profile-tbl-ticker"">CMG</strong>",Q2 2018,"Jul 26, 2018",83 / 137,22,-25,-3
neselibeyin,neselibeyin,"<strong class=""profile-tbl-ticker"">AMZN</strong>",Q2 2018,"Jul 26, 2018",271 / 529,10,-3,7
neselibeyin,neselibeyin,"<strong class=""profile-tbl-ticker"">AMD</strong>",Q2 2018,"Jul 25, 2018",85 / 382,16,22,38
neselibeyin,neselibeyin,"<strong class=""profile-tbl-ticker"">META</strong>",Q2 2018,"Jul 25, 2018",209 / 548,-2,-2,-4
neselibeyin,neselibeyin,"<strong class=""profile-tbl-ticker"">GM</strong>",Q2 2018,"Jul 25, 2018",49 / 69,-5,-3,-8
neselibeyin,neselibeyin,"<strong class=""profile-tbl-ticker"">JTKWY</strong>",Q2 2018,"Jul 25, 2018",8 / 79,10,22,32
neselibeyin,neselibeyin,"<strong class=""profile-tbl-ticker"">TXN</strong>",Q2 2018,"Jul 24, 2018",54 / 100,-4,17,13
neselibeyin,neselibeyin,"<strong class=""profile-tbl-ticker"">GOOGL</strong>",Q2 2018,"Jul 23, 2018",285 / 398,9,-4,5
neselibeyin,neselibeyin,"<strong class=""profile-tbl-ticker"">MSFT</strong>",Q4 2018,"Jul 19, 2018",100 / 350,19,13,32
neselibeyin,neselibeyin,"<strong class=""profile-tbl-ticker"">IBM</strong>",Q2 2018,"Jul 18, 2018",42 / 175,14,16,30
neselibeyin,neselibeyin,"<strong class=""profile-tbl-ticker"">GOOGL</strong>",Q1 2018,"Apr 23, 2018",178 / 455,10,10,20
neselibeyin,neselibeyin,"<strong class=""profile-tbl-ticker"">IBM</strong>",Q1 2018,"Apr 17, 2018",112 / 187,0,-3,-3
SelectiveTrade,selectivetrade,"<strong class=""profile-tbl-ticker"">CNR</strong>",Q2 2020,"Aug 11, 2020",3 / 6,-3,11,8
